video_path,frame_count
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0307\phox2b38_20240307_.mp4,256606
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0307_1\phox2b38_20240307_1.mp4,256609
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0318\phox2b38_20240318_.mp4,204138
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0318_1\phox2b38_20240318_1.mp4,204138
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0319\phox2b38_20240319_.mp4,196286
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0319_1\phox2b38_20240319_1.mp4,196286
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0320\phox2b38_20240320_.mp4,192367
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0320_1\phox2b38_20240320_1.mp4,192367
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0321\phox2b38_20240321_.mp4,196562
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0321_1\phox2b38_20240321_1.mp4,196565
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0322\phox2b38_20240322_.mp4,216775
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0322_1\phox2b38_20240322_1.mp4,216778
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\306\phox2b39_20240306_.mp4,217053
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\306_1\phox2b39_20240306_1.mp4,217055
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\318\phox2b39_20240318_.mp4,260547
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\318_1\phox2b39_20240318_1.mp4,260547
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\319\phox2b39_20240319_.mp4,237764
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\319_1\phox2b39_20240319_1.mp4,237764
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\320\phox2b39_20240320_.mp4,259902
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\320_1\phox2b39_20240320_1.mp4,259902
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\321\phox2b39_20240321_.mp4,265877
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\321_1\phox2b39_20240321_1.mp4,265880
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\322\phox2b39_20240322_.mp4,18212
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\322_1\phox2b39_20240322_1.mp4,18212
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\326\phox2b39_20240326_.mp4,252251
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\326_1\phox2b39_20240326_1.mp4,252251
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\327\phox2b39_20240327_.mp4,193778
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\327_1\phox2b39_20240327_1.mp4,193781
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\328\phox2b39_20240328_.mp4,235391
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\328_1\phox2b39_20240328_1.mp4,235391
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#40\306\phox2b40_20240306_.mp4,217838
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#40\306_1\phox2b40_20240306_1.mp4,217841
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#40\318\phox2b40_20240318_.mp4,260616
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#40\318_1\phox2b40_20240318_1.mp4,260616
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#40\319\phox2b40_20240319_.mp4,271190
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#40\319_1\phox2b40_20240319_1.mp4,271190
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#40\320\phox2b40_20240320_.mp4,298856
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#40\320_1\phox2b40_20240320_1.mp4,298856
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#40\321\phox2b40_20240321_.mp4,258678
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#40\321_1\phox2b40_20240321_1.mp4,258681
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#40\322\phox2b40_20240322_.mp4,253976
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#40\322_1\phox2b40_20240322_1.mp4,253979
