session,date,trial,n_licks,n_bouts,mean_licks_per_bout,mean_max_area,mean_duration
07/20_T1,07/20,1,209,29,7.206896551724138,2560.1435406698565,24.913875598086126
07/21_T1,07/21,1,235,34,6.911764705882353,2224.5829787234043,20.77872340425532
07/25_T1,07/25,1,238,51,4.666666666666667,2219.327731092437,20.928571428571427
07/25_T2,07/25,2,260,58,4.482758620689655,2158.119230769231,21.088461538461537
07/26_T1,07/26,1,192,33,5.818181818181818,1985.9270833333333,20.479166666666668
07/28_T1,07/28,1,118,23,5.130434782608695,1362.8050847457628,16.110169491525422
07/28_T2,07/28,2,130,32,4.0625,1474.076923076923,17.153846153846153
07/29_T1,07/29,1,76,24,3.1666666666666665,945.6447368421053,12.052631578947368
07/29_T2,07/29,2,66,21,3.142857142857143,1084.8333333333333,13.303030303030303
07/29_T3,07/29,3,43,11,3.909090909090909,1270.3953488372092,14.790697674418604
07/31_T1,07/31,1,69,17,4.0588235294117645,853.2173913043479,12.08695652173913
07/31_T2,07/31,2,57,14,4.071428571428571,1096.9122807017543,13.75438596491228
07/31_T3,07/31,3,23,8,2.875,1105.4782608695652,14.08695652173913
07/31_T4,07/31,4,8,4,2.0,951.625,10.75
08/01_T1,08/01,1,95,21,4.523809523809524,1101.042105263158,14.094736842105263
08/01_T2,08/01,2,72,14,5.142857142857143,1333.0,15.833333333333334
08/01_T3,08/01,3,94,16,5.875,1507.0425531914893,16.595744680851062
08/01_T4,08/01,4,49,11,4.454545454545454,1447.9183673469388,16.6734693877551
08/02_T1,08/02,1,46,11,4.181818181818182,886.0217391304348,13.23913043478261
08/02_T2,08/02,2,29,8,3.625,775.6551724137931,10.517241379310345
08/02_T3,08/02,3,9,3,3.0,1273.2222222222222,18.333333333333332
08/02_T4,08/02,4,68,12,5.666666666666667,744.0294117647059,12.205882352941176
08/03_T1,08/03,1,19,6,3.1666666666666665,520.7368421052631,10.263157894736842
08/03_T2,08/03,2,47,11,4.2727272727272725,535.8723404255319,10.25531914893617
08/03_T3,08/03,3,7,2,3.5,961.5714285714286,10.285714285714286
08/03_T4,08/03,4,35,6,5.833333333333333,461.34285714285716,7.371428571428571
08/04_T1,08/04,1,68,18,3.7777777777777777,617.5735294117648,9.661764705882353
08/04_T2,08/04,2,73,18,4.055555555555555,656.7808219178082,9.520547945205479
08/04_T3,08/04,3,66,16,4.125,652.469696969697,9.530303030303031
08/05_T1,08/05,1,88,23,3.8260869565217392,551.5113636363636,8.875
08/05_T2,08/05,2,84,22,3.8181818181818183,662.4761904761905,9.44047619047619
08/05_T3,08/05,3,76,18,4.222222222222222,686.8026315789474,9.447368421052632
08/08_T1,08/08,1,100,29,3.4482758620689653,520.53,9.15
08/08_T2,08/08,2,85,20,4.25,553.8470588235294,8.8
08/08_T3,08/08,3,88,20,4.4,642.4659090909091,9.613636363636363
08/10_T1,08/10,1,87,21,4.142857142857143,584.2298850574713,9.022988505747126
08/10_T2,08/10,2,80,24,3.3333333333333335,625.0875,9.025
08/10_T3,08/10,3,73,23,3.1739130434782608,643.4931506849315,9.123287671232877
08/10_T4,08/10,4,41,13,3.1538461538461537,543.439024390244,7.804878048780488
