Frame,X,Y,Probability
1030,168.0,87.0,0.81
1031,166.0,91.0,0.86
1032,165.0,95.0,0.88
1033,163.0,99.0,0.86
1034,162.0,106.0,0.89
1035,162.0,113.0,0.87
1036,160.0,120.0,0.86
1037,159.0,127.0,0.87
1038,158.0,134.0,0.88
1039,156.0,140.0,0.88
1040,156.0,145.0,0.88
1041,157.0,150.0,0.87
1042,157.0,152.0,0.88
1043,158.0,154.0,0.87
1044,157.0,154.0,0.88
1045,156.0,154.0,0.88
1046,155.0,153.0,0.87
1047,153.0,152.0,0.87
1048,152.0,152.0,0.87
1049,151.0,151.0,0.87
1050,149.0,149.0,0.88
1051,148.0,148.0,0.88
1052,147.0,144.0,0.89
1053,145.0,139.0,0.89
1054,144.0,132.0,0.88
1055,144.0,124.0,0.88
1056,146.0,116.0,0.89
1057,149.0,108.0,0.89
1058,153.0,102.0,0.89
1059,158.0,97.0,0.88
1060,162.0,91.0,0.85
1061,168.0,87.0,0.84
1062,175.0,84.0,0.75
1089,179.0,89.0,0.77
1090,177.0,96.0,0.85
1091,175.0,103.0,0.87
1092,175.0,110.0,0.85
1093,175.0,117.0,0.84
1094,176.0,125.0,0.84
1095,176.0,131.0,0.85
1096,177.0,138.0,0.87
1097,179.0,144.0,0.86
1098,182.0,149.0,0.86
1099,186.0,153.0,0.84
1100,187.0,157.0,0.82
1101,188.0,162.0,0.84
1102,188.0,166.0,0.84
1103,188.0,168.0,0.85
1104,188.0,170.0,0.85
1105,189.0,172.0,0.86
1106,188.0,173.0,0.86
1107,187.0,174.0,0.87
1108,186.0,174.0,0.87
1109,184.0,174.0,0.87
1110,182.0,174.0,0.86
1111,178.0,173.0,0.87
1112,174.0,171.0,0.86
1113,169.0,169.0,0.88
1114,166.0,167.0,0.87
1115,163.0,165.0,0.88
1116,160.0,162.0,0.87
1117,157.0,158.0,0.88
1118,154.0,154.0,0.89
1119,151.0,147.0,0.89
1120,150.0,140.0,0.88
1121,149.0,132.0,0.9
1122,150.0,124.0,0.88
1123,153.0,117.0,0.88
1124,155.0,110.0,0.88
1125,159.0,103.0,0.89
1126,162.0,97.0,0.89
1127,167.0,93.0,0.87
1128,173.0,90.0,0.85
3236,171.0,88.0,0.79
3237,170.0,92.0,0.85
3238,167.0,95.0,0.88
3239,167.0,101.0,0.88
3240,166.0,107.0,0.87
3241,167.0,113.0,0.86
3242,167.0,119.0,0.86
3243,167.0,126.0,0.85
3244,166.0,132.0,0.88
3245,166.0,137.0,0.86
3246,164.0,140.0,0.86
3247,162.0,144.0,0.87
3248,161.0,148.0,0.88
3249,160.0,150.0,0.88
3250,159.0,150.0,0.88
3251,157.0,150.0,0.88
3252,156.0,149.0,0.88
3253,155.0,148.0,0.88
3254,154.0,148.0,0.89
3255,153.0,146.0,0.88
3256,151.0,144.0,0.89
3257,149.0,138.0,0.89
3258,148.0,133.0,0.89
3259,148.0,129.0,0.89
3260,148.0,123.0,0.89
3261,150.0,116.0,0.89
3262,154.0,111.0,0.88
3263,157.0,105.0,0.89
3264,161.0,100.0,0.89
3265,165.0,95.0,0.88
3266,169.0,90.0,0.86
3287,179.0,91.0,0.75
3288,175.0,98.0,0.87
3289,171.0,107.0,0.88
3290,170.0,116.0,0.87
3291,169.0,128.0,0.87
3292,169.0,137.0,0.87
3293,173.0,146.0,0.86
3294,176.0,152.0,0.87
3295,178.0,159.0,0.86
3296,179.0,164.0,0.87
3297,181.0,169.0,0.86
3298,181.0,172.0,0.87
3299,181.0,174.0,0.87
3300,179.0,175.0,0.86
3301,179.0,176.0,0.87
3302,178.0,176.0,0.87
3303,178.0,176.0,0.87
3304,176.0,175.0,0.87
3305,173.0,175.0,0.86
3306,171.0,174.0,0.87
3307,169.0,174.0,0.86
3308,166.0,173.0,0.87
3309,164.0,172.0,0.88
3310,163.0,171.0,0.88
3311,161.0,171.0,0.88
3312,160.0,170.0,0.88
3313,159.0,169.0,0.87
3314,158.0,168.0,0.87
3315,155.0,165.0,0.88
3316,152.0,160.0,0.87
3317,149.0,153.0,0.89
3318,147.0,147.0,0.89
3319,146.0,140.0,0.89
3320,146.0,131.0,0.89
3321,148.0,124.0,0.88
3322,150.0,117.0,0.89
3323,154.0,111.0,0.88
3324,158.0,106.0,0.88
3325,162.0,99.0,0.89
3326,167.0,94.0,0.84
3327,175.0,91.0,0.82
3351,182.0,91.0,0.79
3352,181.0,96.0,0.86
3353,179.0,102.0,0.86
3354,178.0,109.0,0.85
3355,178.0,117.0,0.84
3356,177.0,125.0,0.83
3357,178.0,133.0,0.84
3358,179.0,140.0,0.85
3359,182.0,147.0,0.86
3360,186.0,152.0,0.84
3361,189.0,157.0,0.84
3362,193.0,160.0,0.84
3363,194.0,163.0,0.85
3364,195.0,167.0,0.84
3365,193.0,170.0,0.87
3366,193.0,172.0,0.87
3367,193.0,172.0,0.87
3368,191.0,173.0,0.87
3369,188.0,174.0,0.86
3370,186.0,175.0,0.87
3371,182.0,175.0,0.86
3372,178.0,175.0,0.87
3373,173.0,173.0,0.86
3374,169.0,172.0,0.88
3375,165.0,169.0,0.87
3376,161.0,166.0,0.88
3377,157.0,161.0,0.88
3378,154.0,156.0,0.88
3379,150.0,149.0,0.89
