Time,Data,Method,Lower_Bound,Upper_Bound
2556,0.0011794948,IQR_1.5,-0.0022874022,0.0011521421
3909,0.0012501411,IQR_1.5,-0.0022874022,0.0011521421
4985,0.0015392849,IQR_1.5,-0.0022874022,0.0011521421
4986,0.0018113925,IQR_1.5,-0.0022874022,0.0011521421
4987,0.0021820189,IQR_1.5,-0.0022874022,0.0011521421
4988,0.0026471536,IQR_1.5,-0.0022874022,0.0011521421
4989,0.0031856373,IQR_1.5,-0.0022874022,0.0011521421
4990,0.0040826597,IQR_1.5,-0.0022874022,0.0011521421
4991,0.0047304332,IQR_1.5,-0.0022874022,0.0011521421
4992,0.0057073277,IQR_1.5,-0.0022874022,0.0011521421
4993,0.0077604344,IQR_1.5,-0.0022874022,0.0011521421
4994,0.0087769097,IQR_1.5,-0.0022874022,0.0011521421
4995,0.0093581378,IQR_1.5,-0.0022874022,0.0011521421
4996,0.0104326047,IQR_1.5,-0.0022874022,0.0011521421
4997,0.0123273190,IQR_1.5,-0.0022874022,0.0011521421
4998,0.0131961852,IQR_1.5,-0.0022874022,0.0011521421
4999,0.0148689505,IQR_1.5,-0.0022874022,0.0011521421
5000,0.0154489363,IQR_1.5,-0.0022874022,0.0011521421
5001,0.0167462789,IQR_1.5,-0.0022874022,0.0011521421
5002,0.0175256860,IQR_1.5,-0.0022874022,0.0011521421
5003,0.0170076955,IQR_1.5,-0.0022874022,0.0011521421
5004,0.0179521963,IQR_1.5,-0.0022874022,0.0011521421
5005,0.0166699439,IQR_1.5,-0.0022874022,0.0011521421
5006,-0.0055438718,IQR_1.5,-0.0022874022,0.0011521421
5007,-0.0042707878,IQR_1.5,-0.0022874022,0.0011521421
5008,0.0507858247,IQR_1.5,-0.0022874022,0.0011521421
5009,0.0238935594,IQR_1.5,-0.0022874022,0.0011521421
5010,0.0045658667,IQR_1.5,-0.0022874022,0.0011521421
6571,0.0012367242,IQR_1.5,-0.0022874022,0.0011521421
6576,0.0014050180,IQR_1.5,-0.0022874022,0.0011521421
6577,0.0014195200,IQR_1.5,-0.0022874022,0.0011521421
7289,0.0012183923,IQR_1.5,-0.0022874022,0.0011521421
7290,0.0017043200,IQR_1.5,-0.0022874022,0.0011521421
7291,0.0024060688,IQR_1.5,-0.0022874022,0.0011521421
7292,0.0018239793,IQR_1.5,-0.0022874022,0.0011521421
7293,0.0012357776,IQR_1.5,-0.0022874022,0.0011521421
8268,0.0013584479,IQR_1.5,-0.0022874022,0.0011521421
8269,0.0014546473,IQR_1.5,-0.0022874022,0.0011521421
8270,0.0017136373,IQR_1.5,-0.0022874022,0.0011521421
8271,0.0018990313,IQR_1.5,-0.0022874022,0.0011521421
8272,0.0020573211,IQR_1.5,-0.0022874022,0.0011521421
8273,0.0025036428,IQR_1.5,-0.0022874022,0.0011521421
8274,0.0028203945,IQR_1.5,-0.0022874022,0.0011521421
8275,0.0027288094,IQR_1.5,-0.0022874022,0.0011521421
8276,0.0031738868,IQR_1.5,-0.0022874022,0.0011521421
8277,0.0040597329,IQR_1.5,-0.0022874022,0.0011521421
8278,0.0043435218,IQR_1.5,-0.0022874022,0.0011521421
8279,0.0049442197,IQR_1.5,-0.0022874022,0.0011521421
8280,0.0053973328,IQR_1.5,-0.0022874022,0.0011521421
8281,0.0060866443,IQR_1.5,-0.0022874022,0.0011521421
8282,0.0066311033,IQR_1.5,-0.0022874022,0.0011521421
8283,0.0070803561,IQR_1.5,-0.0022874022,0.0011521421
8284,0.0075715804,IQR_1.5,-0.0022874022,0.0011521421
8285,0.0083998488,IQR_1.5,-0.0022874022,0.0011521421
8286,0.0089512067,IQR_1.5,-0.0022874022,0.0011521421
8287,0.0100568458,IQR_1.5,-0.0022874022,0.0011521421
