Frame,Whisker_Count,Filter_Type
491,6,More_Than_5
492,6,More_Than_5
493,6,More_Than_5
494,6,More_Than_5
495,6,More_Than_5
505,6,More_Than_5
506,6,More_Than_5
507,6,More_Than_5
508,6,More_Than_5
509,6,More_Than_5
510,6,More_Than_5
511,7,More_Than_5
514,4,Less_Than_5
516,4,Less_Than_5
517,4,Less_Than_5
518,4,Less_Than_5
519,3,Less_Than_5
520,3,Less_Than_5
521,3,Less_Than_5
522,3,Less_Than_5
523,3,Less_Than_5
524,3,Less_Than_5
526,4,Less_Than_5
527,4,Less_Than_5
529,4,Less_Than_5
530,4,Less_Than_5
531,4,Less_Than_5
532,4,Less_Than_5
534,3,Less_Than_5
535,3,Less_Than_5
536,3,Less_Than_5
537,2,Less_Than_5
538,3,Less_Than_5
539,4,Less_Than_5
540,2,Less_Than_5
541,2,Less_Than_5
542,2,Less_Than_5
543,2,Less_Than_5
544,2,Less_Than_5
545,3,Less_Than_5
546,3,Less_Than_5
547,2,Less_Than_5
548,2,Less_Than_5
549,2,Less_Than_5
550,2,Less_Than_5
551,2,Less_Than_5
552,2,Less_Than_5
553,2,Less_Than_5
554,3,Less_Than_5
555,3,Less_Than_5
556,3,Less_Than_5
557,3,Less_Than_5
558,4,Less_Than_5
559,3,Less_Than_5
560,3,Less_Than_5
561,3,Less_Than_5
562,3,Less_Than_5
563,3,Less_Than_5
565,4,Less_Than_5
566,4,Less_Than_5
567,4,Less_Than_5
568,4,Less_Than_5
569,4,Less_Than_5
570,4,Less_Than_5
571,4,Less_Than_5
573,6,More_Than_5
577,3,Less_Than_5
578,4,Less_Than_5
579,3,Less_Than_5
580,3,Less_Than_5
581,3,Less_Than_5
582,3,Less_Than_5
583,3,Less_Than_5
584,2,Less_Than_5
585,2,Less_Than_5
586,2,Less_Than_5
587,2,Less_Than_5
588,2,Less_Than_5
589,2,Less_Than_5
590,3,Less_Than_5
591,3,Less_Than_5
592,3,Less_Than_5
593,3,Less_Than_5
594,3,Less_Than_5
595,3,Less_Than_5
596,3,Less_Than_5
597,3,Less_Than_5
598,3,Less_Than_5
599,4,Less_Than_5
600,4,Less_Than_5
601,3,Less_Than_5
602,4,Less_Than_5
603,4,Less_Than_5
604,4,Less_Than_5
605,4,Less_Than_5
606,4,Less_Than_5
607,4,Less_Than_5
608,4,Less_Than_5
609,4,Less_Than_5
611,6,More_Than_5
612,6,More_Than_5
613,6,More_Than_5
614,6,More_Than_5
615,6,More_Than_5
616,6,More_Than_5
2717,4,Less_Than_5
2718,4,Less_Than_5
2719,4,Less_Than_5
2720,4,Less_Than_5
2721,4,Less_Than_5
2722,4,Less_Than_5
2723,4,Less_Than_5
2724,4,Less_Than_5
2725,4,Less_Than_5
2726,3,Less_Than_5
2727,4,Less_Than_5
2728,4,Less_Than_5
2729,3,Less_Than_5
2730,2,Less_Than_5
2731,2,Less_Than_5
2732,2,Less_Than_5
2733,2,Less_Than_5
2734,2,Less_Than_5
2735,2,Less_Than_5
2736,2,Less_Than_5
2737,2,Less_Than_5
2738,2,Less_Than_5
2739,2,Less_Than_5
2740,2,Less_Than_5
2741,2,Less_Than_5
2742,2,Less_Than_5
2743,4,Less_Than_5
2744,3,Less_Than_5
2745,2,Less_Than_5
2746,2,Less_Than_5
2747,2,Less_Than_5
2748,3,Less_Than_5
2749,3,Less_Than_5
2750,2,Less_Than_5
2751,2,Less_Than_5
2752,2,Less_Than_5
2753,2,Less_Than_5
2754,2,Less_Than_5
2755,3,Less_Than_5
2756,3,Less_Than_5
2757,2,Less_Than_5
2758,2,Less_Than_5
2759,2,Less_Than_5
2760,2,Less_Than_5
2761,2,Less_Than_5
2762,3,Less_Than_5
2763,3,Less_Than_5
2764,4,Less_Than_5
2765,4,Less_Than_5
2767,6,More_Than_5
2769,6,More_Than_5
2770,8,More_Than_5
2771,7,More_Than_5
2772,8,More_Than_5
2773,7,More_Than_5
2780,4,Less_Than_5
2781,3,Less_Than_5
2783,3,Less_Than_5
2784,4,Less_Than_5
2785,3,Less_Than_5
2786,3,Less_Than_5
2787,3,Less_Than_5
2788,3,Less_Than_5
2789,3,Less_Than_5
2790,2,Less_Than_5
2791,2,Less_Than_5
2792,2,Less_Than_5
2793,2,Less_Than_5
2794,2,Less_Than_5
2795,2,Less_Than_5
2796,2,Less_Than_5
2797,2,Less_Than_5
2798,2,Less_Than_5
2799,2,Less_Than_5
2800,2,Less_Than_5
2801,2,Less_Than_5
2802,2,Less_Than_5
2803,4,Less_Than_5
2804,4,Less_Than_5
2805,4,Less_Than_5
2806,4,Less_Than_5
2807,4,Less_Than_5
2808,4,Less_Than_5
2809,4,Less_Than_5
2810,3,Less_Than_5
2811,3,Less_Than_5
2812,3,Less_Than_5
2813,3,Less_Than_5
2814,4,Less_Than_5
2817,6,More_Than_5
2818,6,More_Than_5
2819,6,More_Than_5
2820,6,More_Than_5
2841,6,More_Than_5
2842,6,More_Than_5
2843,6,More_Than_5
2946,6,More_Than_5
2947,7,More_Than_5
2952,6,More_Than_5
2973,6,More_Than_5
2998,6,More_Than_5
3015,6,More_Than_5
3016,6,More_Than_5
3017,6,More_Than_5
3018,6,More_Than_5
3019,6,More_Than_5
3026,6,More_Than_5
3049,6,More_Than_5
3131,6,More_Than_5
3281,6,More_Than_5
3282,6,More_Than_5
3283,6,More_Than_5
3284,6,More_Than_5
3285,6,More_Than_5
3286,6,More_Than_5
3287,6,More_Than_5
3288,6,More_Than_5
3289,6,More_Than_5
3290,6,More_Than_5
3365,7,More_Than_5
3366,6,More_Than_5
3367,6,More_Than_5
3368,6,More_Than_5
3369,6,More_Than_5
3414,6,More_Than_5
3415,6,More_Than_5
3416,6,More_Than_5
3417,6,More_Than_5
3418,6,More_Than_5
3420,6,More_Than_5
3422,6,More_Than_5
3423,6,More_Than_5
3424,6,More_Than_5
3425,6,More_Than_5
3426,6,More_Than_5
3427,6,More_Than_5
3428,6,More_Than_5
3429,6,More_Than_5
3430,6,More_Than_5
3431,6,More_Than_5
3456,6,More_Than_5
3457,6,More_Than_5
3458,6,More_Than_5
3459,6,More_Than_5
3460,6,More_Than_5
3461,6,More_Than_5
3462,6,More_Than_5
3463,6,More_Than_5
3464,6,More_Than_5
3465,6,More_Than_5
3470,6,More_Than_5
3471,7,More_Than_5
3472,6,More_Than_5
3473,6,More_Than_5
3474,6,More_Than_5
3475,6,More_Than_5
3477,6,More_Than_5
3481,6,More_Than_5
3482,6,More_Than_5
3483,6,More_Than_5
3696,6,More_Than_5
3712,6,More_Than_5
3713,6,More_Than_5
3715,7,More_Than_5
3716,7,More_Than_5
3717,7,More_Than_5
3718,6,More_Than_5
3719,7,More_Than_5
3721,6,More_Than_5
3722,7,More_Than_5
3723,6,More_Than_5
3725,6,More_Than_5
3950,6,More_Than_5
3966,6,More_Than_5
4068,6,More_Than_5
4142,6,More_Than_5
4143,6,More_Than_5
4145,6,More_Than_5
4146,6,More_Than_5
4149,6,More_Than_5
4150,6,More_Than_5
4151,6,More_Than_5
4152,6,More_Than_5
4153,6,More_Than_5
4154,6,More_Than_5
4155,6,More_Than_5
4156,6,More_Than_5
4158,6,More_Than_5
4159,6,More_Than_5
4162,6,More_Than_5
4165,6,More_Than_5
4166,6,More_Than_5
4167,6,More_Than_5
4168,6,More_Than_5
4172,6,More_Than_5
4173,6,More_Than_5
4182,6,More_Than_5
4183,6,More_Than_5
4703,6,More_Than_5
4704,4,Less_Than_5
4705,4,Less_Than_5
4706,4,Less_Than_5
4707,4,Less_Than_5
4708,4,Less_Than_5
4709,4,Less_Than_5
4710,4,Less_Than_5
4711,4,Less_Than_5
4712,4,Less_Than_5
4713,4,Less_Than_5
4714,4,Less_Than_5
4715,3,Less_Than_5
4716,3,Less_Than_5
4717,3,Less_Than_5
4718,3,Less_Than_5
4719,3,Less_Than_5
4720,3,Less_Than_5
4721,3,Less_Than_5
4722,3,Less_Than_5
4723,4,Less_Than_5
4724,3,Less_Than_5
4725,3,Less_Than_5
4726,3,Less_Than_5
4727,3,Less_Than_5
4728,3,Less_Than_5
4729,4,Less_Than_5
