Origin,Folder,Images,0 labels,1 labels,2 labels,3 labels,4 labels,5 labels,6 labels,7 labels,8 labels
whisker_dataset_2,0110_1,112,112,110,110,110,110,0,0,0,0
whisker_dataset_2,0111_1,1818,1818,1818,1818,1818,1818,0,0,0,0
whisker_dataset_2,0112_1,121,121,121,121,121,0,0,0,0,0
whisker_dataset_2,0112_2,1176,1176,1176,1176,1176,1176,0,0,0,0
whisker_dataset_2,0120_1,15,15,15,15,15,0,0,0,0,0
whisker_dataset_2,0121_1,365,365,365,365,365,0,0,0,0,0
whisker_dataset_2,0124_1_2,294,294,294,294,294,0,0,0,0,0
whisker_dataset_2,0215_1,811,811,811,811,811,811,0,0,0,0
whisker_dataset_2,0228_1,690,690,690,690,690,690,0,0,0,0
whisker_dataset_2,031925_2,542,395,446,343,288,219,0,0,0,0
whisker_dataset_2,040924_1,214,214,0,0,0,0,0,0,0,0
whisker_dataset_2,0424_1,206,206,0,0,0,0,0,0,0,0
whisker_dataset_2,0425_1,500,0,500,0,0,0,0,0,0,0
whisker_dataset_2,0427_1,693,693,0,0,0,0,0,0,0,0
whisker_dataset_2,0428_3,1331,0,1331,0,0,0,0,0,0,0
whisker_dataset_2,0429_1,1144,0,1144,0,0,0,0,0,0,0
whisker_dataset_2,050724_1,571,571,571,571,571,571,0,0,0,0
whisker_dataset_2,050924_1,363,363,249,249,249,0,0,0,0,0
whisker_dataset_2,050924_1_piezo,475,475,0,0,0,0,0,0,0,0
whisker_dataset_2,050924_5,866,866,0,0,0,0,0,0,0,0
whisker_dataset_2,0514_3,1176,0,1176,0,0,0,0,0,0,0
whisker_dataset_2,0515_1,1276,0,1276,0,0,0,0,0,0,0
whisker_dataset_2,052725_1,173,172,0,0,0,0,0,0,0,0
whisker_dataset_2,052725_1_1626,1131,277,528,493,496,208,0,0,0,0
whisker_dataset_2,080824_1,525,525,525,0,0,0,0,0,0,0
whisker_dataset_2,091223_1,66,66,66,66,66,0,0,0,0,0
whisker_dataset_2,091322_1,15,15,15,15,15,15,0,0,0,0
whisker_dataset_2,092523_2_1,120,120,120,120,120,0,0,0,0,0
whisker_dataset_2,092624_1_4,203,203,203,203,203,0,0,0,0,0
whisker_dataset_2,092724_1,67,67,67,67,67,0,0,0,0,0
whisker_dataset_2,100923_1,155,155,155,155,155,0,0,0,0,0
whisker_dataset_2,101925_1,658,164,293,354,282,53,0,0,0,0
whisker_dataset_2,102225_1,15,15,15,15,15,15,0,0,0,0
whisker_dataset_2,102725_1_march,1114,1114,1112,1112,1112,1112,0,0,0,0
whisker_dataset_2,112223_1,113,20,113,20,20,0,0,0,0,0
whisker_dataset_2,112423_1,1817,1789,821,298,298,83,0,0,0,0
whisker_dataset_2,112423_2,103,103,103,103,103,0,0,0,0,0
whisker_dataset_2,112823_1,1653,1622,849,139,139,39,0,0,0,0
whisker_dataset_2,4588_053124_1,220,220,220,220,220,220,0,0,0,0
whisker_dataset_2,4589_053124_1,728,728,728,0,0,0,0,0,0,0
whisker_dataset_2,4589_060324,302,302,302,0,0,0,0,0,0,0
whisker_dataset_2,5378_070824,552,552,552,552,552,552,0,0,0,0
whisker_dataset_2,C1_300_roi1_00002,529,529,0,0,0,0,0,0,0,0
whisker_dataset_2,Mel,330,240,260,297,289,317,0,0,0,0
whisker_dataset_2,MRN_opto1_XP_3s_cont_stim_5x0_nob,120,117,119,107,116,117,119,0,0,0
whisker_dataset_2,MRN_opto1_XP_3s_cont_stim_5x0_nob_more,584,567,564,373,546,547,528,0,0,0
whisker_dataset_2,MRN_opto2_XP_3s_cont_stim_5x0_nob,324,281,300,292,283,312,308,0,0,0
whisker_dataset_2,MRN_opto5_F_8_2_25_L_20260116_opto_xp_0_nob,249,204,208,99,209,241,166,0,0,0
whisker_dataset_2,MRN_opto5_F_8_2_25_L_20260116_opto_xp_2s_dur_10x_stimulations0_nob,686,669,628,422,592,664,399,0,0,0
whisker_dataset_2,MRN_opto6_M_8_9_25_L_20260115_opto_xp_0_nob,321,207,295,305,263,255,227,0,0,0
whisker_dataset_2,wx_0_2499,71,67,53,0,0,0,0,0,0,0
whisker_dataset_2,wx_1630000_1632499,37,37,37,34,29,0,0,0,0,0
