Origin,Folder,Images,0 labels,1 labels,2 labels,3 labels,4 labels,5 labels,6 labels,7 labels,8 labels
whiskers,0110_1,112,112,110,110,110,110,0,0,0,0
whiskers,0111_1,1818,1818,1818,1818,1818,1818,0,0,0,0
whiskers,0112_1,121,121,121,121,121,0,0,0,0,0
whiskers,0112_2,1176,1176,1176,1176,1176,1176,0,0,0,0
whiskers,0120_1,15,15,15,15,15,0,0,0,0,0
whiskers,0121_1,365,365,365,365,365,0,0,0,0,0
whiskers,0124_1_2,294,294,294,294,294,0,0,0,0,0
whiskers,0215_1,811,811,811,811,811,811,0,0,0,0
whiskers,0228_1,690,690,690,690,690,690,0,0,0,0
whiskers,040924_1,214,214,0,0,0,0,0,0,0,0
whiskers,0424_1,206,206,0,0,0,0,0,0,0,0
whiskers,0425_1,500,0,500,0,0,0,0,0,0,0
whiskers,0427_1,693,693,0,0,0,0,0,0,0,0
whiskers,0428_3,1331,0,1331,0,0,0,0,0,0,0
whiskers,0429_1,1144,0,1144,0,0,0,0,0,0,0
whiskers,050724_1,571,571,571,571,571,571,0,0,0,0
whiskers,050924_1,363,363,249,249,249,0,0,0,0,0
whiskers,050924_1_piezo,475,475,0,0,0,0,0,0,0,0
whiskers,050924_5,866,866,0,0,0,0,0,0,0,0
whiskers,0514_3,1176,0,1176,0,0,0,0,0,0,0
whiskers,0515_1,1276,0,1276,0,0,0,0,0,0,0
whiskers,052725_1,173,172,0,0,0,0,0,0,0,0
whiskers,080824_1,525,525,525,0,0,0,0,0,0,0
whiskers,091223_1,66,66,66,66,66,0,0,0,0,0
whiskers,091322_1,15,15,15,15,15,15,0,0,0,0
whiskers,092523_2_1,120,120,120,120,120,0,0,0,0,0
whiskers,092624_1_4,203,203,203,203,203,0,0,0,0,0
whiskers,092724_1,67,67,67,67,67,0,0,0,0,0
whiskers,100923_1,155,155,155,155,155,0,0,0,0,0
whiskers,112223_1,113,20,113,20,20,0,0,0,0,0
whiskers,112423_1,1817,1789,821,298,298,83,0,0,0,0
whiskers,112423_2,103,103,103,103,103,0,0,0,0,0
whiskers,112823_1,1653,1622,849,139,139,39,0,0,0,0
whiskers,4588_053124_1,220,220,220,220,220,220,0,0,0,0
whiskers,4589_053124_1,728,728,728,0,0,0,0,0,0,0
whiskers,4589_060324,302,302,302,0,0,0,0,0,0,0
whiskers,5378_070824,552,552,552,552,552,552,0,0,0,0
whiskers,C1_300_roi1_00002,529,529,0,0,0,0,0,0,0,0
whiskers,wx_0_2499,71,67,53,0,0,0,0,0,0,0
whiskers,wx_1630000_1632499,37,37,37,34,29,0,0,0,0,0
