csv_path,row_count
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0307\phox2b38_20240307_bottom_100_3_behavior.csv,2366
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0307_1\phox2b38_20240307_side_100_3_behavior.csv,1835
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0318\phox2b38_20240318_bottom_100_3_behavior.csv,939
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0318_1\phox2b38_20240318_side_100_3_behavior.csv,823
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0319\phox2b38_20240319_bottom_100_3_behavior.csv,229
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0319_1\phox2b38_20240319_side_100_3_behavior.csv,265
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0320\phox2b38_20240320_bottom_100_3_behavior.csv,420
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0320_1\phox2b38_20240320_side_100_3_behavior.csv,247
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0321\phox2b38_20240321_bottom_100_3_behavior.csv,246
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0321_1\phox2b38_20240321_side_100_3_behavior.csv,408
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0322\phox2b38_20240322_bottom_100_3_behavior.csv,1104
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#38\0322_1\phox2b38_20240322_side_100_3_behavior.csv,248
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\306\phox2b39_20240306_bottom_100_3_behavior.csv,3723
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\306_1\phox2b39_20240306_side_100_3_behavior.csv,3607
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\318\phox2b39_20240318_bottom_100_3_behavior.csv,4195
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\318_1\phox2b39_20240318_side_100_3_behavior.csv,4138
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\319\phox2b39_20240319_bottom_100_3_behavior.csv,3968
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\319_1\phox2b39_20240319_side_100_3_behavior.csv,4032
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\320\phox2b39_20240320_bottom_100_3_behavior.csv,3311
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\320_1\phox2b39_20240320_side_100_3_behavior.csv,3098
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\321\phox2b39_20240321_bottom_100_3_behavior.csv,2684
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\321_1\phox2b39_20240321_side_100_3_behavior.csv,1762
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\322\phox2b39_20240322_bottom_100_3_behavior.csv,83
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\322_1\phox2b39_20240322_side_100_3_behavior.csv,264
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\326\phox2b39_20240326_bottom_100_3_behavior.csv,770
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\326_1\phox2b39_20240326_side_100_3_behavior.csv,440
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\327\phox2b39_20240327_bottom_100_3_behavior.csv,343
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\327_1\phox2b39_20240327_side_100_3_behavior.csv,89
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\328\phox2b39_20240328_bottom_100_3_behavior.csv,557
C:\Users\wanglab\Desktop\PCRt_TeLC\Phox2b#39\328_1\phox2b39_20240328_side_100_3_behavior.csv,334
