Time,Data
2516,-0.0004158521
2517,-0.0004361469
2518,-0.0004650592
2519,-0.0005122373
2520,-0.0005005031
2521,-0.0004855074
2522,-0.0004457701
2523,-0.0004855484
2524,-0.0004950836
2525,-0.0004871048
2526,-0.0004887863
2527,-0.0004714404
2528,-0.0005167882
2529,-0.0005404847
2530,-0.0005663694
2531,-0.0003987673
2532,-0.0001618124
2533,1.04448e-05
2534,4.5988e-06
2535,-1.40651e-05
2536,-0.0001637718
2537,-0.0003479265
2538,-0.0004350823
2539,-0.0004042742
2540,-0.000481282
2541,-0.0005107173
2542,-0.0003427665
2543,-0.0001886003
2544,1.8983e-06
2545,0.0001413323
2546,-0.0001352927
2547,-0.0004413943
2548,-0.0002866632
2549,5.68846e-05
2550,0.0002976037
2551,0.0001067591
2552,0.0001188675
2553,0.0004365681
2554,0.000632159
2555,0.000881717
2557,0.0008950017
2558,0.0006588395
2559,0.0002684495
2560,-0.0001549845
2561,-0.0003624394
2562,-0.0008199373
2563,-0.0010212685
2564,-0.0004751798
2565,-0.0001010414
2566,0.0002467358
2567,0.0003540547
2568,0.0002921147
2569,9.77042e-05
2570,-0.0002469537
2571,-0.000480616
2572,-0.0003811562
2573,-0.0003693185
2574,-0.0003662592
2575,7.21679e-05
2576,0.0002342212
2577,0.0002566923
2578,0.0003001137
2579,0.0003070398
2580,0.0002759666
2581,0.0001834158
2582,-0.0001413732
2583,-0.0003001864
2584,-0.0003213943
2585,-0.0002832806
2586,-0.0001106905
2587,2.27557e-05
2588,2.01305e-05
2589,-3.15198e-05
2590,-0.0001144884
2591,-0.0002084631
2592,-0.0002108266
2593,-0.000241284
2594,-0.0003074465
2595,-0.0001609717
2596,0.0001198986
2597,0.0001665344
2598,0.000190865
2599,0.0001868287
2600,4.80209e-05
2601,-9.7462e-05
2602,-0.0001045249
2603,-0.0001165418
2604,-9.54831e-05
2605,-7.49452e-05
2606,-0.0001882028
2607,-0.0003371133
2608,-0.0003024154
2609,-0.0001766722
2610,-0.0001623006
2611,-9.63877e-05
2612,-9.28815e-05
2613,-0.0001820436
2614,-0.0002507609
2615,-0.0003004064
2616,-0.0002895075
2617,-0.0002329993
2618,-0.0002234006
2619,-0.0002481799
2620,-0.0002556954
2621,-0.0002302623
2622,-0.0002423465
2623,-0.0002361261
2624,-0.000237263
2625,-0.000251811
2626,-0.0002001129
2627,-0.0002005579
2628,-0.0002541561
2629,-0.0002952751
2630,-0.0002920686
2631,-0.0002562819
2632,-0.0002527272
2633,-0.000219091
2634,-0.0001831971
2635,-0.0002544813
2636,-0.0002524809
2637,-0.0002383634
2638,-0.0003119872
2639,-0.0002920423
2640,-0.000211833
2641,-0.0001959567
2642,-0.000183582
2643,-0.0002124104
2644,-0.0002438891
2645,-0.0002474241
2646,-0.0002273429
2647,-0.0002422163
2648,-0.0002226767
2649,-0.0002220274
2650,-0.0002824731
2651,-0.000396136
2652,-0.0002581212
2653,-0.0001782908
2654,-0.000171535
2655,-0.0001682356
2656,-0.0001885022
2657,-0.0001974968
2658,-0.0002375178
2659,-0.0002482715
2660,-0.0002650844
2661,-0.0002352141
2662,-0.0002656647
2663,-0.0002308777
2664,-0.0002200541
2665,-0.0002180269
2666,-0.0002324692
2667,-0.0002341358
2668,-0.0002632625
2669,-0.0002350561
2670,-0.0002477423
2671,-0.0002563445
2672,-0.0002104043
2673,-0.0001906049
2674,-0.000244976
2675,-0.0002559251
2676,-0.000269765
2677,-0.0002533575
2678,-0.0002354788
2679,-0.0002667729
2680,-0.0002721813
2681,-0.0002682772
2682,-0.0002552468
2683,-0.000217147
2684,-0.0002534352
2685,-0.0002111128
2686,-0.0002414714
2687,-0.0002803186
2688,-0.0002731204
2689,-0.0002619797
2690,-0.0002363842
2691,-0.0002526077
2692,-0.0002735285
2693,-0.0003011851
2694,-0.000275017
2695,-0.0002405124
2696,-0.0002749404
2697,-0.0002781701
2698,-0.000285681
2699,-0.0002666717
2700,-0.0002794242
2701,-0.0002938973
2702,-0.0002823611
2703,-0.0002567583
2704,-0.000250764
2705,-0.0002790213
2706,-0.0003072206
2707,-0.0002534401
2708,-0.0002683122
2709,-0.0002674958
2710,-0.0002870162
2711,-0.0002677451
2712,-0.0002608682
2713,-0.0002838712
2714,-0.000281285
2715,-0.0002923456
2716,-0.0002644464
2717,-0.0003020153
2718,-0.0003422655
2719,-0.0002654571
2720,-0.000199742
2721,-0.0001495635
2722,-0.0001286462
2723,-0.0001161175
2724,-0.0001407417
2725,-0.0001361029
2726,-0.0001908713
2727,-0.000217149
2728,-0.0002267444
2729,-0.0002677007
2730,-0.0002679671
2731,-0.0001897024
2732,-0.0001628104
2733,-0.0001122528
2734,-0.0001100968
2735,-0.0001058514
2736,-0.0001479754
2737,-0.000148405
2738,-0.0001739334
2739,-0.0001643266
2740,-0.0001903117
2741,-0.0002056572
